"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289333333.333333","350814814.814815","368888888.888889","424407407.407407","421296296.296296","415555555.555556","454222222.222222","479296296.296296","522037037.037037","501777777.777778","570481481.481481","593185185.185185","715962962.962963","834518518.518518","971259259.259259","939148148.148148","666259259.259259","779407407.407407","810111111.111111","893740740.740741","884962962.962963","624962962.962963","628740740.740741","735592592.592593","848629629.62963","901740740.740741","","",
"Australia","AUS","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10721245380.2217","11403292641.9532","11753835815.8808","12556837271.811","13637585395.901","14785530294.5459","15750923955.6501","17033262403.4046","18553029454.5862","20191510807.4812","22344047485.7207","24601859110.7627","28394859813.0841","34716207559.2569","47565217391.3044","54346579270.7907","58575570402.1177","62540720348.7038","68515677870.5166","76389867090.7645","83822841225.6267","99013119702.7749","108743241752.179","104656059897.052","109864155044.376","99610339802.1017","102623111359.821","107454340921.122","130531140861.467","163055940070.027","171444401692.959","186049760615.336","191452741674.998","181423552557.617","185848495330.336","212604692604.693","230764795144.158","248515417123.18","229660855999.457","226273342524.126","241097155058.72","221920682623.162","228780870657.179","272868375072.801","355530658699.673","399544429409.111","423251722072.477","483953835283.034","596982094897.046","508443528199.087","643893244076.456","764188110026.619","842959373066.612","875725864368.524","821564307353.346","773077627090.44","704112680157.228","754139075345.049","808190062785.831","772066228007.438","",
"Austria","AUT","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","8482339772.42657","9889050556.22866","12074446097.982","16009432145.6181","19001290488.8104","22715303784.4671","24563575976.0681","29926573141.2872","34856337534.3504","41267965002.5733","46366405020.2085","40849464316.5716","41120159716.0603","42493480159.3381","39307519427.8248","40055490156.9566","56376190175.7548","70543779930.3439","75073413574.0555","74514275611.0244","93081889144.3786","96315013553.3294","109465926621.588","106682437004.614","113375429466.329","132422792411.628","131693332466.857","116528943511.106","118524021787.461","116480790539.101","106009563294.638","106781807606.264","114242264257.482","141533916478.555","162072895455.674","170024972018.406","178802471459.039","202180728168.629","223001201113.227","214018407891.081","209670112465.213","230130897313.146","218877965450.002","230787175127.672","236010263790.922","201152306710.126","206731513214.232","219061379745.718","236282732983.466","230099152836.313","",
"Azerbaijan","AZE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4658610268.54773","4463639304.62425","3186424450.3027","2608587575.79541","2570764508.0855","2574670094.07883","2785398744.47803","2950941028.85822","3557251375.81472","3471461510.4567","3396172963.43471","3510039729.4105","3922443941.57581","4362858888.21014","4844713544.31668","5579225724.56103","7785314528.76651","11039272812.0266","16334104186.9523","18937546653.3964","20823844524.729","24572622514.8791","27504964358.4521","31077119184.1938","34189213311.2329","30087936755.8071","22231434480.1654","23533000232.396","25507235294.1176","27251176470.5882","",
"Burundi","BDI","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","180250010","187249992","197750006","224000000","227499992","142260148.148148","146169142.857143","155061714.285714","159533714.285714","163313142.857143","210278857.142857","221347428.571429","215300571.428571","259973008.772149","307786666.666667","385624126.984127","381737971.014493","423510000","492374444.444444","632213333.333333","840438888.888889","841312222.222222","927898877.777778","915723507.261969","847544891.821903","1012753291.07631","1070843316.98345","946915446.74652","948411678.478578","964107378.976095","1070392105.33999","1090462265.51266","983960120.593558","804853828.665568","867881658.968666","889763173.551998","710268981.337737","795186604.22875","782295119.457538","681560082.333736","803266672.81835","794413799.361715","772739059.458767","700565823.742403","806307454.651152","1009870193.26961","1198080731.52911","1234325168.73335","1492415223.26057","1495088683.01464","1646834693.98251","1926254405.67174","1975745536.10052","2183909132.50853","2313445250.4182","2341162911.112","2295617314.58824","2420295479.7852","2366216025.1391","2335533759.35397","",
"Belgium","BEL","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","13656453408.6325","15378808486.1442","19174373567.9589","24789169944.111","28750937241.0936","34535416255.3472","37271044932.0794","44148557118.7394","53701416677.3409","63014397358.2829","69389292316.1815","58943367014.3416","52571790570.3691","50221719132.1499","47097520245.7414","49406353013.1123","67707792125.6998","83790191247.9741","88925590784.4213","89000890663.3907","111243394495.413","115308238629.652","127096166875.784","120581092583.955","130551917048.469","152826628352.49","149313745928.339","133086265223.275","136805067792.843","134430428297.464","123563755297.586","123960626398.21","132529550159.985","162478668171.558","185158803079.215","193511627906.977","204155563919.207","233495620038.325","261343489087.447","247281050291.748","247392290363.283","269385257183.773","257735255224.838","273659944627.477","277022668478.871","237262766856.535","244014190577.02","258809731593.177","281358632906.353","273996759752.156","",
"Benin","BEN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","190937435.536028","198226228.399972","201768680.470781","219789186.356505","239474892.583354","260953653.969279","279732846.680864","278874506.963186","288382045.178493","291279003.048924","293438624.24119","300607261.858718","364819987.969572","440065976.72745","489943538.701155","611426460.096429","648069323.981327","694115329.837996","869772488.111323","1096768612.59035","1373020882.75442","1332352452.32886","1067737872.34146","942758592.999638","892862526.881954","927419160.269152","1165306174.39668","1362575341.57237","1449406983.82599","1328149040.94972","1484237511.05541","1562930999.20633","1371316733.16261","1800090683.23288","1187550237.59705","1588055214.84192","1710791998.63005","1646821637.89981","1820133842.62918","3014346662.51745","2880928092.40982","3028725654.51883","3410474412.19234","4287694600.46734","4872145345.65446","5321068297.02119","5700907227.92419","6451772857.83201","7751820694.39553","7632833739.77602","7482079467.36654","8344172034.25114","8527446450.66568","9282603144.64721","9693562045.36115","8560727062.7425","8655443013.02586","9224705474.19601","10039778968.7661","9850212154.4827","",
"Burkina Faso","BFA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","291246354.025835","305060656.829219","330070056.870266","342602122.797544","350033161.229921","364714416.294072","379028615.865294","405694228.354449","404637969.24116","422157533.93304","396303235.021604","410328769.18786","478866891.165888","540062270.878208","556054641.664513","736701854.62471","757285314.023329","959759117.159097","1239352360.54203","1502627324.63464","1739937614.39231","1616919000.15972","1465127960.15413","1312443418.72537","1204433597.29548","1255173762.84576","1646385396.26382","1838046276.90813","2022812273.83614","1944658496.23928","2280042232.43043","2193416755.84681","1560234522.1886","1653922838.35264","1091590891.35789","1507242237.77939","1751580672.674","1582817619.66922","1931222102.41957","3001147598.87097","2624219362.41234","2724529220.94103","3098567605.46001","3929207166.99195","4577435242.29242","5109589265.71867","5366638070.18645","5958849726.41918","7531339973.5426","7325082882.7281","7237838020.97154","8298694460.41856","8684041201.13688","9614877370.42103","9791138737.59436","8462728325.57272","8824040812.30417","9389992399.98436","10330514908.9966","10236649932.8396","",
"Bangladesh","BGD","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","3686015436.89101","4183359833.7986","4154454022.447","4514922487.29256","4511238654.10558","","","","","","","","","","","","","","","","","16355630354.9572","14966067864.2715","14728577441.0774","16816520000","18146884615.3846","17547166666.6667","19865677419.3548","21809646902.6096","23187353127.1521","25291457793.5491","25165490196.0784","25901193633.9523","27444259259.2593","27694688279.3017","31202910447.7612","36617726161.3692","37609812646.37","38107533039.6476","39084920965.0582","40031663685.1521","40235841363.9733","40571565383.9457","44930345423.1433","47944436894.8531","51223934959.3496","52516489913.6391","58827739926.1512","69302853400.379","76421625534.8651","85438685148.0054","95552865018.6883","98332388771.2159","109264704757.592","125467360606.275","141309707202.251","153063793792.988","171488822195.619","194042990856.027","208698906528.384","",
"Bulgaria","BGR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","10978000000","9669000000","9631066666.66667","8434500000","8759000000","8858052631.57895","10248588235.2941","14629461538.4615","11185294117.6471","11454666666.6667","12345000000","5921451612.90323","6791494845.36082","7958768115.94203","7179520295.20295","10916681547.619","9075643620.01124","7405273202.92526","8433519654.62395","8874818523.15394","8805397729.94867","9729767016.06628","11197867116.0327","14377580654.4699","17880322519.2051","20538669080.7446","22996114282.0496","30421175647.3058","35729552015.5561","32763033340.4422","32045062948.4229","35708732314.2552","35295344283.8371","34603013029.316","35573612806.9461","31334378825.6631","32509006221.7195","35469590895.9954","39570235365.1177","40375645105.8958","",
