"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","Gross capital formation (current US$)","NE.GDI.TOTL.CD","5874118042.33397","6522566916.78799","5662448202.48628","6639041326.01635","7304289394.10908","8710941874.79001","8905812520.99899","10021278978.609","10790682047.2617","12337327808.2652","13628625825.9604","14512263411.3563","15834112149.5327","18120435618.1935","27195283714.0752","26083572306.4318","27765032144.2077","29755677907.777","30592149785.6982","37570146540.952","40626183844.0111","50727969348.659","57890323292.508","44852597098.7365","51535953631.5885","50582956201.5801","51966284275.3218","51833642138.6977","66049912689.1735","88793257878.023","90133897652.9434","78951416686.2884","72740905944.782","73669898819.5616","78349360083.0163","95648945648.9456","99480273141.1229","108279856002.504","102481177507.97","101871161799.724","109236952835.521","88841901899.7531","96661783172.8757","121362842166.57","166425522833.974","191095324011.427","205944144953.579","235211588286.096","302123545210.385","254182005595.641","307751255174.844","370212954747.116","428942049907.197","439689135118.498","392487836225.099","355099425908.977","306708400058.233","319760162908.213","351466552980.389","323960091546.274","",
"Austria","AUT","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","4771495104.52501","5541740279.76649","7058711828.085","9517022981.2355","11444997055.3592","10879523583.7876","12248654598.4506","15309730247.2733","16461066995.1673","21696574369.5317","23617236758.1366","19127014860.8951","17519558764.2171","16618430366.1713","16163509387.2498","16964551742.4847","23505006759.8017","29871903569.8737","34140480329.8785","35233812792.5117","44427926903.0618","46746366529.1691","51115807663.411","48063635395.7175","53086308878.4484","64509635594.377","62486378996.6207","55780133047.6942","56978190306.803","56723609631.3659","51024221485.1668","49651722595.0783","50448174289.4786","63876659142.2122","72400645641.9171","75281681382.9126","79330360055.2001","95557090062.9619","105282085835.653","91140525145.8739","88598513007.3429","104074488403.858","98168326016.4322","102026878051.9","104008508849.484","90893678748.3576","95950419754.8871","103624095357.624","116246572218.933","113366239389.882","",
"Azerbaijan","AZE","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2350453170.51241","273116153.545015","-34586648.6757369","865566669.435218","507465235.396641","725851542.246693","921297372.704022","1356712672.52196","1483588091.05402","1213785850.08697","1090038535.22021","1180178245.46333","2156140711.7877","3868763999.1855","5033784471.35443","5501586629.99788","6265390642.48937","7114089266.9852","9132302823.75852","8392634983.82682","9554005232.34085","13366974800.5572","15551171079.4297","19029063097.5143","20699732245.3143","14814952176.4591","9724885630.13098","9962584243.55101","9483588235.29412","9677000000","",
"Burundi","BDI","Gross capital formation (current US$)","NE.GDI.TOTL.CD","12250000","14000000","15750000","14000000","14000000","9168592.59259259","11196571.4285714","12216000","15003428.5714286","15765714.2857143","10997714.2857143","19235428.5714286","7852571.42857143","16165996.0512833","13991111.1111111","31911111.1111111","40753623.1884058","61304333.3333333","85656666.6666667","116718888.888889","127711111.111111","164797777.777778","146485555.555556","247197417.966649","181346587.586668","159400115.999669","139931680.826837","255851408.222726","162740838.348944","183384068.520864","164573297.130011","168219356.189364","115216775.562522","108319604.61285","64512809.5526452","63661624.45247","71345995.045417","59316021.0018448","60522710.756382","47554830.0092271","24209416.2376677","39177455.289938","32592023.7159484","61742809.1112302","94702564.2423086","203314574.308704","235739735.716599","205958651.027938","216130410.221619","338028841.651688","348722179.831571","365461634.942235","380895609.694687","358425887.41442","384221122.48072","378041365.017062","272007393.571009","279352015.985611","337203849.950642","369402621.413985","",
"Belgium","BEL","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","7920173457.03913","8516198503.41255","9882648703.14362","13174221693.2312","16974109362.0547","17491570692.1136","19183382445.1411","22063809791.7839","26750690406.0459","30192670610.8971","33679664781.3492","23640708387.6575","19891607805.0503","16354968836.2919","16518434096.6211","16371354711.5973","22282198844.1394","29333124797.4068","35480165660.9984","38634424651.9247","49990834138.0975","48081293561.7247","53043104140.527","49285735774.2537","53905776464.9144","62762999452.6546","60393355048.8599","56354758682.9048","57777617248.2774","58573620285.5316","56176432651.557","53538344519.0157","53353566723.1319","66538148984.1986","83536503600.6953","91307300087.0538","97780203236.7332","115715165617.301","133632342170.792","106730202834.121","111228609341.303","128084419398.793","117544972532.122","116995055127.494","123704123313.414","109196496889.221","115377375032.409","122950884267.294","138799945446.274","133020103310.588","",
"Benin","BEN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","25842781.1159358","25835932.1389822","26266053.476966","29498340.9273828","26264627.7637748","25446737.1171819","26591675.1330194","36211250.8531473","40381361.7207946","41883268.0798552","38675397.9966216","34464412.1348143","54835265.264598","65952052.8585503","101119757.113176","130650091.525055","116300238.333881","133140835.811831","149209484.883843","225647042.895503","212987905.599973","202405678.031439","349962859.81127","189730921.415188","134338256.628174","93486441.1269123","179898719.600215","201972073.617656","253296823.012528","177528295.972236","275578098.968357","287597361.142177","230920741.343478","365251614.796587","284492908.65153","464729105.011656","414403538.327647","420653263.474152","445725914.896776","670036286.477053","562094854.81507","650285284.705012","619253701.582952","809331914.487818","940384465.358808","793454099.669118","904729495.168317","1336067073.58499","1339454234.3358","1441913290.85369","1488285042.44686","1760394251.81904","1701988835.93184","2361100082.65548","2558279480.80367","2360978309.46174","2396371212.15189","3043370630.62173","3761165919.4734","3688310042.96861","",
"Burkina Faso","BFA","Gross capital formation (current US$)","NE.GDI.TOTL.CD","28153525.9065128","30311210.0174468","33051953.4001758","34680460.0346997","39551361.8697687","36844317.4737382","34590062.0485969","36162710.7868305","38079476.6295343","45965981.7549205","47078279.512784","71753372.3566984","99966819.9038518","139213052.141177","191713130.118826","217173380.137173","223087447.855287","221295429.901384","270311262.994348","286752522.075802","291370835.788612","250943079.820735","314513914.52748","274164010.958732","206815825.873782","356348131.57285","410042095.442209","455545323.779308","491525555.635387","533842071.144253","586561506.504516","666059576.352085","432425605.395865","453796651.737452","514877807.20837","569307864.154227","645207508.556308","670460178.563443","678072971.397489","581996026.612903","430818606.030856","432164404.120876","487267134.602599","732888718.590564","845998738.001054","1079520412.5719","1055771865.31441","1391777192.45427","1959468236.54709","1889197446.53019","2223149085.99392","2672585854.04816","3096666404.86074","3187632373.25967","2685738664.92708","2296231620.58532","2668768233.03728","3112253763.71271","3649844342.70447","3670318400.91755","",
"Bangladesh","BGD","Gross capital formation (current US$)","NE.GDI.TOTL.CD","294722550.790919","372370589.372693","609282225.793725","524266062.50468","644988995.208458","677861868.902446","580660081.097526","776763927.47315","1059300812.08153","1059584249.57027","1020193438.63523","720086513.05823","295402700","704516103.328621","922776098.418278","1195666122.12708","1002743730.63973","1112122954.10472","1533618895.50265","1743936511.16951","2619023882.42894","3473990208.07834","3216616766.46707","2916540404.0404","3118960000","3526884615.38462","3522266666.66667","3759741935.48387","4182467846.44857","4639875609.96842","5200668451.80243","5230560224.08964","5487230031.83024","5952339523.80952","6214296793.01746","7254002500","9626674816.62592","10525081967.2131","11057290748.8987","11649376039.9334","12706579208.9048","13052020014.8258","13320616402.5771","14846735751.2953","16271819262.7824","17937414634.1463","18776485912.7457","20841195821.0252","24009476211.9225","26855388461.7397","30256903105.2292","35273774915.9694","37689448672.3874","42581720212.9776","49406990433.6694","56351771702.4379","65655283268.8713","76187969779.0743","85595902381.6023","95522666415.8139","",
"Bulgaria","BGR","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","6744615384.61539","7051428571.42857","6601333333.33333","5447777777.77778","5842111111.11111","5523578947.36842","7264705882.35294","9246307692.30769","7763176470.58824","7280166666.66667","5279500000","2472983870.96774","2058608247.42268","1655000000","910701107.01107","3365505952.38095","142287802.136031","1100750341.87526","2812034196.77346","2704166077.16167","2522820609.42872","3028328832.33396","3367343765.04574","4667580077.33595","6129671131.99162","8285641318.84887","11020906817.1615","14932194541.6375","20116997232.8173","14846582782.3985","11414082848.2469","12319307500.8887","11884432325.887","11725137757.8719","12276722968.3896","10660807073.226","10226568438.914","11724968020.7433","14078532890.7664","14470783056.6686","",
"Bahrain","BHR","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1417352348.10295","1443085638.29787","1322606382.97872","1638031648.93617","1663031914.89362","1301861702.12766","812765957.446808","863563829.787234","747872340.425532","951861702.12766","694946808.510638","1320212765.95745","1397606382.97872","951861702.12766","1093085106.38298","854521276.595745","878989361.702128","1107712765.95745","1324734042.55319","523404255.319149","1502180851.06383","1410106382.97872","2239867021.2766","2628696808.51064","2698404255.31915","4269281914.89362","5623218085.10638","7543191489.3617","8985478723.40425","5997127659.57447","7016250000","6446808510.6383","8654813829.78723","8440930851.06383","8962765957.44681","7927473404.25532","9397765957.44681","11686276595.7447","13689627659.5745","","",
